"","x"
"2",1.1887907869854
"15",-0.914398720005221
"17",5.18021181843205
"23",2.63014967210113
"24",11.2441387420615
"28",-0.970149831528282
"35",9.65847235981328
"43",3.94241037856273
"44",1.98213161709219
"54",0.945498181576352
"64",1.59424565804518
"73",11.4867488725928
"77",4.47019222975993
"83",7.25584632911373
"86",-4.90096316202045
"89",12.399174833366
"94",2.25496886781487
"96",11.9330565746723
"99",2.89783764411499
"102",6.61950115259584
"104",4.777904432107
"105",7.35233298844448
"108",-5.85632250608407
"112",11.7484478082155
"119",8.16069518985097
"121",4.73803175375189
"136",5.94655564853544
"141",-1.48149383779216
"148",1.15650889656669
"167",6.83303232463241
"174",9.29594365172661
"181",6.04332425098767
"182",2.04462448413407
"185",9.28454455180967
"189",8.34400984550386
"198",9.47479463047626
"201",1.97031773560743
"204",5.4310106383648
"205",1.73180347816383
"206",5.34035528464209
"208",1.7434204651463
"218",3.62928217510426
"225",6.1197734776398
"237",9.29077964396085
"241",6.74910842985762
"249",3.81198342737287
"250",11.3217247778009
"257",7.2598840161192
"259",9.43327632626935
"260",2.83720947874889
"262",9.35316041919532
"273",2.50858354105162
"275",9.63367900410531
"279",1.02284445757516
"288",-2.83214872597666
"291",-2.21683347900999
"294",1.76169377691147
"297",4.63409348998314
"301",9.04146919921746
"306",6.38374570286907
"312",-0.0413370351126451
"314",2.63089348797469
"323",2.90037932381122
"324",6.75002762166264
"325",3.36646363791381
"333",4.56923858641677
"338",0.479832410404674
"341",6.2122924729638
"345",3.64231135871551
"352",8.83758541977006
"354",11.250747006782
"356",5.81481614527795
"365",10.889579309907
"370",9.98381707814358
"371",10.4082110080838
"375",11.1197712868313
"377",0.561458492938012
"381",5.7664345792359
"383",1.68964855213789
"384",-2.36197414801935
"389",-1.8710305248185
"392",-0.365978394001077
"394",11.247077881943
"395",4.77219078112882
"396",4.90455116787552
"397",5.16168846045476
"406",10.0509365282793
"413",9.87618689166883
"425",7.75532120931195
"428",6.31622497863022
"429",7.05009912171305
"432",5.24864839560224
"441",3.82497777355187
"443",5.23269885498968
"446",4.81140631597143
"447",9.24028825402639
"448",8.55045497128971
"450",8.44445620938885
"458",11.1760598143405
"465",4.25269463438008
"466",2.40215193667401
"467",0.807940074681544
"474",9.81943954828516
"477",2.52907728195593
"478",6.58125651855529
"483",5.28001006022603
"485",1.94362088334155
"487",-6.07681088317781
"489",9.89229687113468
"492",7.00910372749708
"495",3.99924871211079
"499",5.15251061188337
"502",7.62943457576546
"511",12.8220040386674
"513",-0.105236411657234
"523",5.93877638157482
"527",12.902371680807
"528",-0.485094342816208
"533",1.29768322876651
"543",8.603887903356
"545",1.86704005002269
"548",-0.863886630253439
"550",0.231599498836491
"556",4.8267527706943
"558",5.77056198772497
"560",7.57799095060669
"561",6.059394755887
"571",5.70761989267235
"573",9.09312621343931
"585",-2.66976125042836
"591",5.68748212419597
"593",13.5533572767716
"599",5.14412854113604
"603",0.86719890312829
"610",-2.06518978479362
"611",3.92282523265162
"620",0.89111881549802
"630",11.9944587266679
"633",3.20028325763359
"646",0.741742668854629
"647",8.689922616003
"648",1.86657638608994
"656",4.16880711741461
"663",-1.84624066073272
"666",3.85948929386382
"670",6.47367835504829
"686",1.9222910510084
"690",2.14840636243472
"692",6.97987584361377
"697",3.29454556920846
"698",5.85382403965756
"708",5.91035308577188
"709",2.41702126939589
"715",3.47901702250687
"717",1.60061356842647
"725",5.01990866576254
"735",7.34970639757672
"746",8.46813391815099
"751",4.8567742145475
"753",2.04088324765576
"754",5.75602495832026
"756",2.59447100917988
"757",2.45258823718927
"761",2.53298520383055
"764",-8.48630625455637
"766",2.47696215929187
"779",5.74458010130546
"788",2.13405587732685
"789",5.74294706368899
"791",8.55582780554223
"805",1.86986295636582
"810",8.41918925608917
"812",7.36092035274046
"834",4.41827642262388
"843",5.26464337187063
"849",4.5305537327959
"869",11.2181156968297
"870",5.4305866714624
"882",1.95323534642745
"892",2.09551591129103
"896",-2.02036282781173
"898",1.73137974881288
"909",3.13474733428293
"910",11.3962419697171
"922",7.21518142327136
"933",5.47396079620369
"935",5.57081197378214
"936",8.79475344044775
"937",7.93586258717271
"946",-2.39592727725767
"947",11.2213398147852
"964",0.0990872566423329
"971",9.87772897467564
"981",2.65016813795036
"982",8.61074184854814
"985",-2.3966243996614
"987",1.47648098517092
"998",8.40653649533746
"999",8.0103822911683
"1000",2.86284540131031
